Game Title,Console,Price
Ghost Manor,PS,785.99
Ghost Manor/Spike's Peak,PS,32.97
Ghostbusters,PS,44.04
Glacier Patrol,PS,159.55
Glib,PS,218.78
Golf [Atari],PS,20.71
Golf [Sears],PS,47.52
Gopher,PS,26.64
Gorf,PS,13.81
Grand Prix,PS,17.00
Gravitar [Red Label],PS,14.91
Gravitar [Silver Label],PS,234.63
Great Escape,PS,0.00
Gremlins,PS,81.23
Guardian,PS,145.56
Gunslinger,PS,34.99
Gyruss,PS,71.67
H.E.R.O,PS,156.26
Halloween,PS,851.26
Halloween [No Label],PS,0.00
Hangman,PS,22.13
Harbor Escape,PS,0.00
Haunted House [Atari],PS,19.02
Haunted House [Sears],PS,33.89
Home Run,PS,10.19
Human Cannonball,PS,12.84
Hunt & Score,PS,19.66
I Want My Mommy,PS,149.75
Ice Hockey,PS,16.13
Ikari Warriors,PS,20.31
Inca Gold,PS,195.22
Indy 500,PS,60.67
Infiltrate,PS,20.25
International Soccer [M Network],PS,14.74
International Soccer [Telegames],PS,20.50
James Bond 007,PS,52.72
Jawbreaker,PS,85.71
Journey Escape,PS,25.22
Joust,PS,27.60
Jr. Pac-Man,PS,17.93
Jungle Fever / Knight on the Town,PS,175.00
Jungle Hunt,PS,14.36
Kaboom!,PS,21.30
Kangaroo,PS,13.66
Karate [Froggo],PS,36.06
Karate [Ultravision],PS,0.00
Keystone Kapers,PS,35.67
Killer Satellites,PS,49.31
King Kong,PS,116.67
Kool-Aid Man,PS,65.90
Krull,PS,55.38
Kung Fu Superkicks,PS,41.85
Kung-Fu Master,PS,43.20
Laser Blast,PS,15.81
Laser Gates,PS,69.54
Laser Volley,PS,26.64
Lochjaw,PS,835.00
Lock 'N Chase,PS,10.52
London Blitz,PS,79.90
Lost Luggage,PS,32.16
M.A.D.,PS,24.83
MASH,PS,28.40
MagiCard,PS,0.00
Malagai,PS,0.00
Mangia,PS,809.38
Marauder,PS,168.95
Marine Wars,PS,98.15
Mario Bros.,PS,75.67
Master Builder,PS,228.17
Masters of the Universe The Power of He-Man,PS,114.37
Math Gran Prix [Atari],PS,40.49
Math Gran Prix [Sears],PS,599.99
Maze,PS,9.02
Maze Craze: A Game of Cops and Robbers,PS,13.62
Maze Mania,PS,47.52
Mega Force,PS,31.24
Megamania,PS,24.20
Memory Match,PS,62.69
Midnight Magic,PS,15.18
Millipede,PS,19.06
Miner 2049er,PS,81.23
Miner 2049er: Volume II,PS,337.53
Mines of Minos,PS,149.74
Miniature Golf,PS,22.88
Missile Command [Atari],PS,14.61
Missile Command [Sears],PS,30.46
Mogul Maniac,PS,0.00
Montezuma's Revenge,PS,208.41
Moon Patrol,PS,16.18
Moonsweeper,PS,56.51
MotoRodeo,PS,27.32
Motocross Racer,PS,214.56
Mountain King,PS,21.56
Mouse Trap [Atari],PS,12.79
Mouse Trap [Coleco],PS,16.11
Mr. Do!,PS,70.86
Mr. Do's Castle,PS,344.28
Ms. Pac-Man,PS,16.55
Music Machine,PS,"1,824.99"
Name This Game,PS,52.15
Night Driver [Atari],PS,17.35
Night Driver [Sears],PS,22.26
No Escape!,PS,69.25
Obelix,PS,244.96
Ocean City Defender,PS,42.75
Off Your Rocker,PS,0.00
Off the Wall,PS,19.16
Oink!,PS,32.90
Omega Race,PS,94.39
Oscar's Trash Race,PS,25.82
Othello [Atari],PS,14.61
Othello [Sears],PS,60.85
Out of Control,PS,"1,165.63"
Outer Space,PS,36.96
Outlaw,PS,17.11
Pac-Man [Atari],PS,18.25
Pac-Man [Sears],PS,25.80
Party Mix,PS,186.05
Pele's Soccer,PS,17.99
Pengo,PS,177.95
Pepsi Invaders,PS,0.00
Pete Rose Baseball,PS,22.04
Phaser Patrol,PS,52.76
Philly Flasher / Cathouse Blues,PS,159.68
Phoenix,PS,15.99
Picnic,PS,48.01
Piece O' Cake,PS,55.45
Pigs In Space,PS,70.98
Pinball,PS,0.00
Pitfall II: Lost Caverns,PS,87.82
Pitfall!,PS,25.70
Planet Patrol,PS,19.53
Plaque Attack,PS,63.84
Poker Plus,PS,125.52
Polaris,PS,142.58
Pole Position,PS,11.73
Pole Position [Error Label],PS,0.00
Pong Sports,PS,63.85
Pooyan,PS,44.20
Popeye,PS,24.52
Porky's,PS,56.18
Pressure Cooker,PS,86.28
Private Eye,PS,75.02
Q*bert,PS,27.26
Qbert's Qubes,PS,466.29
Quadrun,PS,770.57
Quest for Quintana Roo [Sunrise],PS,130.30
Quest for Quintana Roo [Telegames],PS,42.97
Quick Step,PS,53.89
Rabbit Transit,PS,172.66
Race,PS,36.31
Racquetball,PS,15.36
Radar,PS,0.00
Radar Lock,PS,21.30
Raft Rider,PS,132.98
Raiders of the Lost Ark,PS,20.73
Raiders of the Lost Ark [Error Label],PS,0.00
Ram It,PS,163.89
Rampage,PS,69.18
Reactor,PS,14.96
Realsports Baseball,PS,8.76
Realsports Boxing,PS,12.06
Realsports Football,PS,10.08
Realsports Soccer,PS,15.71
Realsports Tennis,PS,11.38
Realsports Volleyball,PS,11.07
Red Sea Crossing,PS,0.00
